Object,Maneuver,New Position
FENGYUN 1C,[ 0.08771022 -0.03596241  0.03183744],"[0.9405340516648744, -0.39442846552115934, 0.37703989529276694]"
FENGYUN 1C,[ 0.07996064  0.0001734  -0.06005219],"[1.0204946943754296, -0.39425507035111707, 0.31698770506268503]"
FENGYUN 1C,[ 0.09567537 -0.02907257 -0.0010043 ],"[1.1161700673548596, -0.42332764145791574, 0.31598340705557165]"
FENGYUN 1C,[ 0.07227868 -0.03161483 -0.06145156],"[1.1884487496132603, -0.4549424728324916, 0.25453184460068956]"
FENGYUN 1C,[ 0.04797568 -0.02925335  0.08271986],"[1.2364244294161948, -0.4841958239822129, 0.3372517067497369]"
FENGYUN 1C,[0.0949449  0.00626156 0.03076133],"[1.3313693276233838, -0.47793426114151577, 0.3680130320660903]"
FENGYUN 1C,[ 0.0717074  -0.03359031  0.0610716 ],"[1.4030767258988912, -0.5115245753492511, 0.42908462795143915]"
FENGYUN 1C,[0.09810691 0.00622248 0.01833888],"[1.501183637254346, -0.505302095644617, 0.4474235126126824]"
FENGYUN 1C,[ 0.08997856 -0.01142028  0.04211218],"[1.5911621966004557, -0.5167223743308805, 0.4895356972238694]"
FENGYUN 1C,[ 0.09381187 -0.03169661 -0.01395197],"[1.6849740698871023, -0.5484189805228964, 0.4755837229421259]"
FENGYUN 1C,[ 0.08063641 -0.05485654  0.02210269],"[1.7656104821496257, -0.6032755228102917, 0.4976864102380087]"
FENGYUN 1C,[ 0.08263064 -0.0536994   0.01698681],"[1.848241124579267, -0.6569749190257534, 0.5146732221154516]"
FENGYUN 1C DEB,[ 0.01456035  0.01250608 -0.09814069],"[0.013880998523753135, 0.003988205446081, -0.06274656953830525]"
FENGYUN 1C DEB,[ 0.01151682  0.07979774 -0.05915813],"[0.025397820996347017, 0.08378594129792308, -0.12190469791517664]"
FENGYUN 1C DEB,[ 0.08382558  0.0057146  -0.05422744],"[0.10922340350076523, 0.08950054120112205, -0.1761321362258818]"
